n,politica,k,0.500000,0.600000,0.700000,0.800000,0.900000,0.950000,0.990000
1,k=1,1,0.500000,0.600000,0.700000,0.800000,0.900000,0.950000,0.990000
2,k=1,1,0.750000,0.840000,0.910000,0.960000,0.990000,0.997500,0.999900
2,k=maioria,2,0.250000,0.360000,0.490000,0.640000,0.810000,0.902500,0.980100
3,k=1,1,0.875000,0.936000,0.973000,0.992000,0.999000,0.999875,0.999999
3,k=maioria,2,0.500000,0.648000,0.784000,0.896000,0.972000,0.992750,0.999702
3,k=n,3,0.125000,0.216000,0.343000,0.512000,0.729000,0.857375,0.970299
5,k=1,1,0.968750,0.989760,0.997570,0.999680,0.999990,1.000000,1.000000
5,k=maioria,3,0.500000,0.682560,0.836920,0.942080,0.991440,0.998842,0.999990
5,k=n,5,0.031250,0.077760,0.168070,0.327680,0.590490,0.773781,0.950990
7,k=1,1,0.992188,0.998362,0.999781,0.999987,1.000000,1.000000,1.000000
7,k=maioria,4,0.500000,0.710208,0.873964,0.966656,0.997272,0.999806,1.000000
7,k=n,7,0.007812,0.027994,0.082354,0.209715,0.478297,0.698337,0.932065
9,k=1,1,0.998047,0.999738,0.999980,0.999999,1.000000,1.000000,1.000000
9,k=maioria,5,0.500000,0.733432,0.901191,0.980419,0.999109,0.999967,1.000000
9,k=n,9,0.001953,0.010078,0.040354,0.134218,0.387420,0.630249,0.913517
11,k=1,1,0.999512,0.999958,0.999998,1.000000,1.000000,1.000000,1.000000
11,k=maioria,6,0.500000,0.753498,0.921775,0.988346,0.999704,0.999994,1.000000
11,k=n,11,0.000488,0.003628,0.019773,0.085899,0.313811,0.568800,0.895338
