n,politica,k,p,A_analitico,A_simulado,rodadas,sucessos,erro_absoluto,erro_relativo_pct
1,k=1,1,0.50000000,0.50000000,0.49884000,100000,49884,0.00116000,0.23200000
1,k=1,1,0.70000000,0.70000000,0.69948000,100000,69948,0.00052000,0.07428571
1,k=1,1,0.90000000,0.90000000,0.89860000,100000,89860,0.00140000,0.15555556
1,k=1,1,0.95000000,0.95000000,0.94952000,100000,94952,0.00048000,0.05052632
1,k=1,1,0.99000000,0.99000000,0.98992000,100000,98992,0.00008000,0.00808081
3,k=1,1,0.50000000,0.87500000,0.87482000,100000,87482,0.00018000,0.02057143
3,k=1,1,0.70000000,0.97300000,0.97285000,100000,97285,0.00015000,0.01541624
3,k=1,1,0.90000000,0.99900000,0.99904000,100000,99904,0.00004000,0.00400400
3,k=1,1,0.95000000,0.99987500,0.99987000,100000,99987,0.00000500,0.00050006
3,k=1,1,0.99000000,0.99999900,1.00000000,100000,100000,0.00000100,0.00010000
3,k=maioria,2,0.50000000,0.50000000,0.49906000,100000,49906,0.00094000,0.18800000
3,k=maioria,2,0.70000000,0.78400000,0.77980000,100000,77980,0.00420000,0.53571429
3,k=maioria,2,0.90000000,0.97200000,0.97153000,100000,97153,0.00047000,0.04835391
3,k=maioria,2,0.95000000,0.99275000,0.99268000,100000,99268,0.00007000,0.00705112
3,k=maioria,2,0.99000000,0.99970200,0.99974000,100000,99974,0.00003800,0.00380113
3,k=n,3,0.50000000,0.12500000,0.12402000,100000,12402,0.00098000,0.78400000
3,k=n,3,0.70000000,0.34300000,0.34220000,100000,34220,0.00080000,0.23323615
3,k=n,3,0.90000000,0.72900000,0.72679000,100000,72679,0.00221000,0.30315501
3,k=n,3,0.95000000,0.85737500,0.85691000,100000,85691,0.00046500,0.05423531
3,k=n,3,0.99000000,0.97029900,0.96996000,100000,96996,0.00033900,0.03493768
5,k=1,1,0.50000000,0.96875000,0.96951000,100000,96951,0.00076000,0.07845161
5,k=1,1,0.70000000,0.99757000,0.99732000,100000,99732,0.00025000,0.02506090
5,k=1,1,0.90000000,0.99999000,0.99999000,100000,99999,0.00000000,0.00000000
5,k=1,1,0.95000000,0.99999969,1.00000000,100000,100000,0.00000031,0.00003125
5,k=1,1,0.99000000,1.00000000,1.00000000,100000,100000,0.00000000,0.00000001
5,k=maioria,3,0.50000000,0.50000000,0.50043000,100000,50043,0.00043000,0.08600000
5,k=maioria,3,0.70000000,0.83692000,0.83760000,100000,83760,0.00068000,0.08125030
5,k=maioria,3,0.90000000,0.99144000,0.99172000,100000,99172,0.00028000,0.02824175
5,k=maioria,3,0.95000000,0.99884187,0.99898000,100000,99898,0.00013813,0.01382852
5,k=maioria,3,0.99000000,0.99999015,0.99997000,100000,99997,0.00002015,0.00201496
5,k=n,5,0.50000000,0.03125000,0.03069000,100000,3069,0.00056000,1.79200000
5,k=n,5,0.70000000,0.16807000,0.16642000,100000,16642,0.00165000,0.98173380
5,k=n,5,0.90000000,0.59049000,0.58946000,100000,58946,0.00103000,0.17443140
5,k=n,5,0.95000000,0.77378094,0.77409000,100000,77409,0.00030906,0.03994186
5,k=n,5,0.99000000,0.95099005,0.95046000,100000,95046,0.00053005,0.05573664
7,k=1,1,0.50000000,0.99218750,0.99250000,100000,99250,0.00031250,0.03149606
7,k=1,1,0.70000000,0.99978130,0.99980000,100000,99980,0.00001870,0.00187041
7,k=1,1,0.90000000,0.99999990,1.00000000,100000,100000,0.00000010,0.00001000
7,k=1,1,0.95000000,1.00000000,1.00000000,100000,100000,0.00000000,0.00000008
7,k=1,1,0.99000000,1.00000000,1.00000000,100000,100000,0.00000000,0.00000000
7,k=maioria,4,0.50000000,0.50000000,0.50217000,100000,50217,0.00217000,0.43400000
7,k=maioria,4,0.70000000,0.87396400,0.87387000,100000,87387,0.00009400,0.01075559
7,k=maioria,4,0.90000000,0.99727200,0.99726000,100000,99726,0.00001200,0.00120328
7,k=maioria,4,0.95000000,0.99980642,0.99979000,100000,99979,0.00001642,0.00164251
7,k=maioria,4,0.99000000,0.99999966,1.00000000,100000,100000,0.00000034,0.00003417
7,k=n,7,0.50000000,0.00781250,0.00780000,100000,780,0.00001250,0.16000000
7,k=n,7,0.70000000,0.08235430,0.08139000,100000,8139,0.00096430,1.17091639
7,k=n,7,0.90000000,0.47829690,0.47660000,100000,47660,0.00169690,0.35477964
7,k=n,7,0.95000000,0.69833730,0.69659000,100000,69659,0.00174730,0.25020804
7,k=n,7,0.99000000,0.93206535,0.93126000,100000,93126,0.00080535,0.08640466
9,k=1,1,0.50000000,0.99804688,0.99817000,100000,99817,0.00012313,0.01233659
